,reviewId,userName,userImage,content,reason,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
10,gp:AOqpTOHbodGpl4Mawn9keOEKubK3X3dkn51KAmOsU9U6PTKX_TtGCshf77_pocJMz4iCZXtlAH0Ej5bdFS-Mjw,Sergio Ross,https://play-lh.googleusercontent.com/a-/AOh14Gj-It568lYeSzJrfoUY5xLvVtwGR6B9z2BdozL5nA,Wait why is play prodigy in my computer school's?,No specific reason,1,0,,2021-07-03 12:48:30,,
11,gp:AOqpTOE1wjhUWV26Nr2ZwmVbMnAjCqxhyENW4AyX5_nc0IQRj9qVFY3ys4I6x3NShhmWXnCVySeWu2a4OWyOHA,Sunshine Smith,https://play-lh.googleusercontent.com/a-/AOh14Gj9-erVLvK_lhfLh3iKoAzbn2OwJVV_8ChnXN-yeg,Won't work on Chromebook anymore. Membership is a waste of my mom's money!!!,Technical,1,0,4.0.1,2021-07-02 19:35:16,,
12,gp:AOqpTOHVvNlY59KchgXboCXM6ZonWUMeWwCYScTekA37UWq9SsnYmGygBiLumK-QoNE3TvkeTpmVBjIMnQXrGg,Alicia Hockaday,https://play-lh.googleusercontent.com/a-/AOh14GjjIJAsKP9IK7ASOgL9yi2RimrQy27TPRWnLu8bcjA,It wont let me in,Technical,1,0,4.0.1,2021-07-01 21:28:24,,
13,gp:AOqpTOGGqpgyqkXazHSeP_juhoEVhk7tZxDVjBWPW_B6JFH2_ApuuyVjLfHlKPDwe79qknrx00XEOX-t_v8CAA,Nicholas Samuel,https://play-lh.googleusercontent.com/a-/AOh14GjtkiWHrCAOYny6vMt8NJc6Pi8uf5bIWQPIJEvfuQ,THE WORST. These questions are too HARD,Gameplay,1,0,4.0.1,2021-07-01 13:55:18,,
14,gp:AOqpTOFbZjh9HeFJTFPyL2pw3P0SxNppQ3Dt7vyPl_VkMv7-frtwtekfym89mhWtkdwlZu-NORCLasUktzbuXQ,Jamy Hubert,https://play-lh.googleusercontent.com/a-/AOh14GjEiRKYUZ3eho3Rhpc_a_X9suxrI4jn7g0_SelYHw,No more membership,Technical,1,0,,2021-06-30 21:02:10,,
15,gp:AOqpTOEG7xG3Czfe8RI77XOXop7ad0PcPZPQb5sJGpbm-ZXoUcaG-oaVpWbeVuIsqVWwpruGm3FueLk2bu-fNQ,The Elektric Shock,https://play-lh.googleusercontent.com/a-/AOh14GgZ-OT89UhNVwcLWbMlj6OWuJv57nHjufuKY1CoEQ,Glitchy,Technical,1,0,,2021-06-26 23:55:28,,
16,gp:AOqpTOGUHC6jeF9V31oqBTdXvgSuciPQPuN9ov3V01rokcgMXEgzavlwqnJfxYZRmQcTeCYzVXO6rtZq3SDGhA,IHeart MyFamily,https://play-lh.googleusercontent.com/a/AATXAJyxRiRHN_Gq7No1fURbYH7Gx8LiW3SCQwLxWytJ=mo,Gtg guy 4th high TCT Ubuntu Rycroft jobbing tub ibuprofen,No specific reason,1,0,4.0.1,2021-06-26 22:24:48,,
17,gp:AOqpTOFkphRx4Wm31ePgmqxWnRkSyy9swGyehJrbZxmgGxT3UFNe2SGECgBXi4syDVsVYelxGjNwvm2lz2Eftw,Adriana Jimİnez,https://play-lh.googleusercontent.com/a-/AOh14GjX11mJM_O5nh_kGExRtus3Rk8A_m8Kb84b8TpJ0Q,When i get in the game it just kicks me out of the game¤,Technical,1,0,,2021-06-25 15:56:50,,
18,gp:AOqpTOEKprERlN7wFeNOSl93mtMMQiVRT6lXTc38PS5FPQRTiKsyHwGl0C1VY7pA3rMlCyEA42Mrc02DBrg63w,ErinMel Down,https://play-lh.googleusercontent.com/a-/AOh14GiyoP9LmyWb1Z0BCfoYUZzjWPJBcTqAKo6J0TwxRIM,Sucks,No specific reason,1,0,4.0.1,2021-06-24 14:25:24,,
19,gp:AOqpTOE4Qi0mU-5tUmDOyaKxQx3cxjf5LhwvFZHjExr-RwTzQM7PBIi005EPn5nWas5m7snFWbnSgeXuUcF1Ig,Liz B,https://play-lh.googleusercontent.com/a-/AOh14GjyDYMJSqlT78KU3A2ArV8u8MnrhG6JsbvRFSHAoQ,Can't log in with Google account on app.,Technical,1,0,4.0.1,2021-06-23 08:40:39,,
20,gp:AOqpTOGCWV7wEwIcjeqVWMxTAcj2JxfUv2pPle4urQjKYciGsr8TA1Pfsib2-jkb72IHvJqpD7vYYvZmSHYqiQ,Merci Sampson,https://play-lh.googleusercontent.com/a/AATXAJyVkawjxLkvKEQ-ZTOU3XB2X4eV3kkZDPM6E6PS=mo,I tried,No specific reason,1,0,4.0.1,2021-06-22 20:25:05,,
21,gp:AOqpTOFn_awwhwWjuvnV1lJeanuPCE4znbgjMwpImvZKmJNZ3hSOeFkSxz1YvyajyrwcIkpICFjuE_1aXBccUQ,Lukus Gone,https://play-lh.googleusercontent.com/a-/AOh14GiWNDwdFVTakSYUsyb1_cnsLdtd4rSezY0jVdm8,It's pay to win It's annoying.,Gameplay,1,0,4.0.1,2021-06-19 21:33:41,,
22,gp:AOqpTOHqhuZWRBtEL612u3cu5NL-Md7uSb5XxfK7pHI9LZAkIZ5fnJJuPiOqDet1k1Key4GQsteOutZL8wZolA,Benjamin Solberg,https://play-lh.googleusercontent.com/a-/AOh14GjKfWV3rDcFjAIFgSuNZ90OCgDAKgAqF6pdoQs3GMA,"Great when it worked but had been broken on Lenovo Duet Chromebook for a couple months now. Cache cleared, data cleared, reinstalled, rebooted, new account all the same result the graphics do now draw properly in the animation stack and so you cannot see dialog messages, characters, or opponents. We are paying for a membership that is now useless and there is nothing we can do right now.",Technical,1,19,4.0.1,2021-06-19 19:28:43,,
23,gp:AOqpTOHIRaWTJLjn1ONZLSKyRUCCK4HuCgRETvFq3NKG95gQpWK7RJzznZnBxI015b0eswqxddPAZezrJjNXhA,Ace Wind Gaming,https://play-lh.googleusercontent.com/a-/AOh14Gh3SkQeyh-b_hUqNuV7AFrPRcWrufm_02zHBIkm,"I hate this game. It is pay to win and there is no way that you can collect epics, or get the membership game. It is sooo hard to get to higher levels, and the items that help leveling up, they need the membership. YOU EVEN NEED A MEMBERSIP TO EVOLVE YOUR PETS. All and all, this is a horrible game.",Membership,1,15,,2021-06-19 10:11:47,,
24,gp:AOqpTOGEJkpB5mY1bhTe89jNFTvxQUFC27hxihxJ1Lz9i7zCasUFEOXXfmw9eNvXr2DhoJuAwSd2_GAM31jYIQ,ocean group,https://play-lh.googleusercontent.com/a-/AOh14GgZoOx_00SuL56YIkbOK_aQNSMOoU9rZPsRvxG89Q,ITS ALL JUST MEMEBERSHIP AND ITS EXPENSIVE TO GET MEMBERSHIP MAKE IT FREE,Membership,1,0,4.0.1,2021-06-18 02:19:09,,
25,gp:AOqpTOFG-OP5gsTR39w7NZxlqy6L4sVOC0JgosOexvn-LxRpqEtOmaZMUAqc7fuWLEIbdjUkkxNhSd-N64suXg,Patience Banas,https://play-lh.googleusercontent.com/a-/AOh14Gj5ArtVMyUlRbPi78IMzvYPcuYFGDKqdvAYGL2jNw,Math â ,No specific reason,1,0,,2021-06-16 16:04:25,,
26,gp:AOqpTOEhl--MwUdO3NySPHiVp8kGXXKSNYl6ZZogp7ZFKwLoljpBP5_yMBUQRsBIrnce9NJwMfV8I91xs6Qi1w,zhoe pasten,https://play-lh.googleusercontent.com/a/AATXAJwq2fT1E99RTCD0V3gLhoKnNcjpfFLJQut_f-iR=mo,to hav a love,No specific reason,1,0,4.0.1,2021-06-15 14:04:57,,
27,gp:AOqpTOGZ4UAiT-PYk2CoRcTFPmgMghNGVONIBCg3jQuTAjuZaYv_KLtaeWhLuXoBgdKIvvcvb3swk1luuZdK1g,Meg le cat plays G,https://play-lh.googleusercontent.com/a-/AOh14GgVu1e-pspXDrAkQVWV-uf-0v6M3c_1ARovqGQwzA,What is this,No specific reason,1,0,,2021-06-14 18:47:49,,
28,gp:AOqpTOEBNe8hO1Dhh3vbvHDleBIDm8Mvk-45WTs02IVMNTUqAH0sFT7mbJErnnJeYRjFSvoU-ifeQ-OEUpLcRQ,Davinia King,https://play-lh.googleusercontent.com/a/AATXAJwBR3gQfZOeRZEFnpjhIwbnDcxDi2qsueQaYWot=mo,Its a learning math app that you need for math teaching for students that need help with math proplems nut if you rate 1 star i will be mad,No specific reason,1,0,,2021-06-13 15:52:34,,
29,gp:AOqpTOF14w4Y8A-dWPTCP0xQECElgzM1S9YB9AKIyss1fDQ-QRarP9uRKBMTKKdBJkyyYLJHIrtvblko9RbLJw,Science Guy,https://play-lh.googleusercontent.com/a/AATXAJxipVQgxjoyrZcr5aDyBdBBbuFJOhiNDXgMdcay=mo,good anoung us,No specific reason,1,0,,2021-06-13 14:31:05,,
30,gp:AOqpTOHpjueZ24JNJcnezx9_w3NPP0iejo2uTxFUIephNI4ZTXJKCYCIFQta0UpDM1ViAcT2_5kP5R88T5cPuQ,Kyle Morgan,https://play-lh.googleusercontent.com/a/AATXAJwjh6NrXMXL_4aK1RUWNk80Aq7XoyziByKr3A9F=mo,LAME!!!,No specific reason,1,0,,2021-06-13 11:26:21,,
31,gp:AOqpTOFRNlBcJz5OIRkIP85sKro7VwPE337ZmYMyXQRM_qTrhHYWwZsqezdqoG_nyS4lpkI0v9E1x6BuCvZSTQ,Heather Milliner,https://play-lh.googleusercontent.com/a-/AOh14GhAa9JMMgTU9Gv9tkFQSx19dG7NuT3gyWWXh3u1mA,"The graphics are so disgusting now, and most of the fun aspects from when I was younger have been downgraded or flat out removed. I am disappointed.",Gameplay,1,3,,2021-06-12 11:10:35,,
32,gp:AOqpTOHjsoCObu8DyBRPgvgS1Tg8rs2UcysPA_4FKBeSvb9TOCBNDbzpE7N0qH041U3N0-MXRoXe5CngXvjRHQ,Lucia Lee,https://play-lh.googleusercontent.com/a/AATXAJz27bVztmuIUMgZFdXAdv6zd8w1_9NoiFJz8UfB=mo,This game is so unfair in not a member and all the stuff in prodigy are the worst when your pet and wizard have 0 hearts we have to pay 100 gold coin and also when ever we get crimson boots they are worn by a member but you don't need too but I collected a sea sword boots and I can't WEAR THEM The crimson boots are fine but the SEA SWORD BOOTS WE CAN'T WEAR THEM THAT IS WHY THIS GAME IS TOTALLY UNFAIR,Membership,1,13,4.0.1,2021-06-11 18:02:05,,
33,gp:AOqpTOFJqistZNkg2Q6KZUOvCH-SWSC5uJBAacPShcrcZPxjAzry94yvL-pW268m5tffhrPs1Epy7PlnG4vxeg,Tonya_ kiz,https://play-lh.googleusercontent.com/a-/AOh14GhWfENMK76xYlzkiS_YJjjQ01Es32pKz3eNMB6x,I HATE IT but go ahead nd try it out,No specific reason,1,0,,2021-06-10 21:55:19,,
34,gp:AOqpTOH0EndK20dtObW7bavrN6eq7SE6Pw0Ib5nsy4aZcKwVOO1Dsb5VuQEbHsgoerlkzaM-S7gRIpFEYZ5Rlw,MissingLink 21,https://play-lh.googleusercontent.com/a-/AOh14GiBduJsBdsqJNh5eJDl-yGUKQ_5lAelIcc_9Hs-hg,"I mean, this used to be an awesome game, especially for learning, but now there is a ""membership"" this is so dumb because you can't buy a ton of armor, you can't even EVOLVE PETS, one of the most BASIC actions without the ""MEMBERSHIP"" If they got rid of the membership, or fixed the 2 issue specified above, it would make this game great.",Membership,1,141,4.0.1,2021-06-10 19:57:09,,
35,gp:AOqpTOEBb86y6tP6_AYW8nzbmFlbO0T07DVowYxqrwHDSkkiryPQQWbDIM2TruqLmFd1nrTvH29k5ssmkzoscg,Jakai Fielder,https://play-lh.googleusercontent.com/a-/AOh14GiLfhzdIOx5Ovvcl3DZNmjQtdAxnUjeUzMKXKc6,Its bad everything costs money and it's all overpriced 35$ for you can access an area to even continue its so many bugs that I had to lose my account and start over because I went into the tower. Would give a 0/10 if could,Membership,1,4,4.0.1,2021-06-10 18:16:23,,
36,gp:AOqpTOEBrjG4EsU70LrHyCauSwHMY80Xrn9ZEBh1-gL4y--q8CAidungf-0dLWPLfGEJQWwW1NhHk2wgQvpUzg,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It is the worst because you try to play the game using the app you can't it is just so stupid.,No specific reason,1,0,4.0.1,2021-06-07 20:30:05,,
37,gp:AOqpTOGKAGDf4ugr14DkKQfJIs9CkWl01E1pPfOuYgoNGJzGiBQe_fWu6_rr99UKKq6OwvLFW1m0fPYkWB-u0w,Heather Wood,https://play-lh.googleusercontent.com/a/AATXAJw_o2ndgEDArL5bbfPcYWZmnQSuiLhFD0nIbSVh=mo,My login freaking having lots of errors and when ever press login it deletes my password FIX THIS NOW!,Technical,1,2,4.0.1,2021-06-07 00:22:59,,
38,gp:AOqpTOF446OIcpNWY3ZmOIAH5ddwyPOdwNg3T6wVgK_rPVb-4e3xIIK2AKmXKcnVtpV1YMuh2fp3yl8fNzDZSw,Ranveer Kumar,https://play-lh.googleusercontent.com/a/AATXAJyaQ3jyUkTylyCT8KyA7F_kG38_l3HIreIQ8JaX=mo,Bad,No specific reason,1,0,4.0.1,2021-06-06 02:25:31,,
39,gp:AOqpTOGlhJw6DBJSVhl49oS19VNUgFBZYWAqxkaeTBJOGdXgdeJIv7CehbyPmnS2Zq1UWVn5J_YRfXvNJa1zGw,Ulana D,https://play-lh.googleusercontent.com/a/AATXAJzAhYAdLqQGLOxYNLL8HfOZo3Ld82wzFHuQYbR0=mo,Its so so bad,No specific reason,1,0,4.0.1,2021-06-05 23:08:55,,
40,gp:AOqpTOHSzMTFJGLH8uURYkRs-RFYkdbc7xSVVROfeq6FZEYz4e4ygZP2Zai8zmHLoJOxkxRXQ_D4Ja-LF4sZQg,gacha girl,https://play-lh.googleusercontent.com/a/AATXAJx2xqhvKfUIFAEFXBI2TRreDhIX0IlSAVrPBoBP=mo,"You can only play on computer. I can't play on mobile because it says I'm going to go to the ""website"".",Technical,1,2,4.0.1,2021-06-05 17:39:43,,
41,gp:AOqpTOE_i99ushcXW7hMgzTmsn3OB25PwW_2v8Mvrt3EeSzVFhtRAwb7b3B-xnL2PKedzaAUs9ZzUvzpvG0DRQ,Jazzy Henderson,https://play-lh.googleusercontent.com/a-/AOh14GgGKwgpgPKBREyMV-HimVWEt-ilFiaJP25DtDy8ZtU,Trash ban me my name is jayden,No specific reason,1,0,4.0.1,2021-06-04 16:33:44,,
42,gp:AOqpTOHpNiWqG3MavZTvycUh-3xelLG7-uOmSDA4PoV7ysVYu_YKsHnEYqk30El6SKCeQK8RqxJ_2CQQfW7liw,Bohannan Kanaii,https://play-lh.googleusercontent.com/a/AATXAJyHe4kZFJc4ZxqAmOWJbT10O4XGJtNPSazrD-GK=mo,Horrible do not play game is rigged its Horrible lots of hackers big lag not fun to play just boring,Gameplay,1,0,4.0.1,2021-06-03 14:32:58,,
43,gp:AOqpTOEaaQFde7WJPFSETxcZkndm2PzCWhGoRUju8JU-54Zib1wKHCv8_p42esJdeS0qW6xsCpQskeTNVwrSgg,Frank hsu,https://play-lh.googleusercontent.com/a/AATXAJwoCU5NqWBgdbVs5WOxWS2qEtWdSRyqoWoCNwCF=mo,I hate this game  ,No specific reason,1,0,4.0.1,2021-06-02 01:18:36,,
44,gp:AOqpTOG543NEvs9KMKcFRzuqcowCPPPZyG_xCQGV4abNdS3ZYodCrATaRGjM46TG7wszPGzTppI-EZNuFjtM-g,Shadow F¸xy,https://play-lh.googleusercontent.com/a-/AOh14Gg-w7Do4vu5U3N6e2AX75WUcSg51T4wnwmxYZds4w,"This game is the WORST no offense but this game is boring all you do is math even though is a MATH game but still you can't say anything you want to say they have options to say some thing. The animation is cringy, you can't be a member for free which is stupid and you can only rescue 10 pets even when you wanna change your hair color some of the colors are for members - only which is also stupid. Plus I like the older version of prodigy better, and thats why I HATE prodigy!!!!!!!!!!!!!!!!",Gameplay,1,8,,2021-06-01 16:07:41,,
45,gp:AOqpTOERJqL_-uQKTOvdorrj4fQ9_lSKtWcX9OZZafUcAxG9UzRe6_ZGvGnZHwWWVpYa5SqOarqo5O2SKhfYAw,Brooklynn bernier,https://play-lh.googleusercontent.com/a/AATXAJy2S6NaZsNPph8-9QRsZCcU7f1MgEE4xU8zlfMA=mo,Dum,No specific reason,1,0,,2021-05-30 21:20:38,,
46,gp:AOqpTOEr4MyqeDX-xADV9ZK1gLOYXu_pzWR4d9IW5_aslY0dCeo2A5Z_RuWEZMvIqlTu-132-xOWz73A5rkLFQ,Luke Vo,https://play-lh.googleusercontent.com/a-/AOh14GjR7uoW7Is5cagt-kGfS-cNXnw58ZwKjdMVLcb0Mw,I would rate 5 but every time I fight in the new arena the take away my points even though I didn't even battle anybody they said the fixed it but it's still broken I think the should give me back all my points if they fix this because I worked so hard and then I log in and find they took away 20 point please fix this.,Gameplay,1,6,4.0.1,2021-05-29 01:39:11,,
47,gp:AOqpTOH7miD9DiC6dK4acdxXnKlCCaNmDlE5vTOXimetAl2GdhGQHsI5vnRiLevJOn7Uy3DydIh2c82LgDr3kw,Ms. Deku,https://play-lh.googleusercontent.com/a-/AOh14GhD3lGVw_au0CWtcbehAwXGDKK9Z8d3fyMz1qCBAw,Loved this game but this changed it became LAGGY,Technical,1,0,3.2.00,2021-05-28 18:15:26,,
48,gp:AOqpTOF5rUumF7KiCG6j_SVeqTrSr1P02XssxMJTC-3YFwhEGn3UGd971fS7VxhFxHyXsFZ5IpX_Wwm4kstUog,crazy monkey,https://play-lh.googleusercontent.com/a-/AOh14GgQfHNJu9wLFajXE2aaiFtehSZECNF9WTg3fBdF,It's a good game,No specific reason,1,0,,2021-05-27 23:24:49,,
49,gp:AOqpTOG54GOXc3PNrQtq3Olgq9R-lxvzzowBAbQP4ki63aQ8WahhyetGHXKxRvIAN9t8vnykMBV7mkJUjBdzFw,Ridge Gordon,https://play-lh.googleusercontent.com/a-/AOh14GjatAcnr3HPOiFOl8HUCV2IcE33jGttFgNoR5f1,"I bought membership and didnt get it, i want a refund.",Technical,1,0,4.0.1,2021-05-27 19:50:02,,
50,gp:AOqpTOHzStzhzeO4x8VrxmlLsu5ubETo6K3jLeD0lV3P0et_7KKD8mnWuu0pOtxUgAKUfDxEE5Vd6rTkjy51uA,â˘green Frogâ˘,https://play-lh.googleusercontent.com/a-/AOh14Gh39-ENJ1JaGoUDCjK-A_dIdvOQ0NfyGzpclHW4VQ,I don't ever wanna play this game I hate math lol,No specific reason,1,0,4.0.1,2021-05-27 16:03:35,,
51,gp:AOqpTOF1g6GE-V55OuzhAyik1r4oB6F-lrHwt_u1tMKHn590oPynM_KbQ_qtNa81kpVc_wcf3BgOj1kEnbwT2g,Free De la hoya,https://play-lh.googleusercontent.com/a-/AOh14GgISpKnkje0pWQPYtej2v8599f43puGIwlOt63j,Thia game sucks imposible to beat and every question is easy but pretty good,No specific reason,1,0,,2021-05-26 20:41:54,,
52,gp:AOqpTOHLzW_bMMrjTpe-Swjm7Zwsi9UUCwcO8BsLueL_z7LjFBdSvOjO1eQRuAF2CCeJkmdowPps9IG9becpSw,Cullen MacDonald,https://play-lh.googleusercontent.com/a/AATXAJz3XMbUNuaxCqDPuOSCBXzBWerTbRyD8kf23j1_=mo,bad,No specific reason,1,0,4.0.1,2021-05-25 10:34:02,,
53,gp:AOqpTOEOAQGOIxQOJDDP0vYeorxpj7IU5uH2OyjiGcGvbd8_idE61q5ja-4C6ieQXFJuVvrM7HwE41VvyqqnnA,Byiinyz,https://play-lh.googleusercontent.com/a-/AOh14GjciG2dHq38Wcbh2iI6X9GSI8oVn783ybbYd9PG3g,"I hate this game, I was level 20 and back to level 8 don't recommend downloading.",Gameplay,1,0,,2021-05-23 14:28:14,,
54,gp:AOqpTOGWA5LeDL87se1Ra4g-HdPVdYE5CrYzk17S05_8gr-mFg_zSIK7TpWBEY8Iica7tC8mYVRI9g8nVMbZKg,zach games,https://play-lh.googleusercontent.com/a/AATXAJxJjD_xZArADY8_jK5pvt898u78oKNNa4lw3gsf=mo,It is so annoying with its member items that are sooooooooooooooo dumb I hate this game,Membership,1,0,4.0.1,2021-05-23 11:10:19,,
55,gp:AOqpTOEvREqg-YYzPoPqq9Cn6alMCPakR9MpD0xOYGQyKvUh0knF_9ayLCknmLY6rUahwqLcdCKIMSmq0bJ1Lg,Alexis Lane,https://play-lh.googleusercontent.com/a-/AOh14GjGSHiHZpEq-Yu9UUtSBLqbqLfeCVVgbhcYERin,It teaches you math.,No specific reason,1,0,4.0.1,2021-05-22 15:46:39,,
56,gp:AOqpTOHBu1I9ggDf8ulbzWv3JfOD1LAT0PBeCTB-bC65SP_xoSx_Wm6Nylm-QQiVL7f_nGMv9xUbe_0mifh_7A,Cache Williams,https://play-lh.googleusercontent.com/a-/AOh14GhumY2PzuWlAQFkQmOIet2SLMS4IkX7lRqs4hj9,"Wont sign in with my google login info, and I would have to have start from scratch and lose all my progress ive made with my school account.",Technical,1,2,,2021-05-22 13:42:47,,
57,gp:AOqpTOFzNidwxXiUYE-RL4CU-md7X9SMzOxD3wBB6r_KKZ0oCA71OqJBnyf3rZSvuZIRGMsX6TCkbhCIE7i22w,Ratnesh Singh,https://play-lh.googleusercontent.com/a/AATXAJwoa1NzFUd8HtWlLTaozsARPZsyftEtcLa4pojx=mo,Bruh u can't save 2nd account passwords I had a wand I rly wanted to equip but a soon as I equped it I got disconnected and Iost my progress and I forgot my password and didn't note so I lost my account And that wand i wanted,Technical,1,2,4.0.1,2021-05-22 05:36:10,,
58,gp:AOqpTOEpAMqboFtHbtJm647iTzsFG-1UIfAB91lpcQ6pUWzoH4IyBSBcd5O4D2ea0lRhX59ES5iLVARB8lR6og,Monkey,https://play-lh.googleusercontent.com/a-/AOh14GiCsl0i9b4eUnjJB0l3hPnZVKQ5HeXiGpkZ10RZ,I can't play my other account it just says wrong password or username!,Technical,1,0,4.0.1,2021-05-20 19:46:20,,
59,gp:AOqpTOGoxg9jfDPvDhqOcdOCLgFWRTNagss99E8Ny6iB8FhTRaIjLTGlFTyBy1ZansYPJleadfs-YeRkJZ6Ylw,VCT B,https://play-lh.googleusercontent.com/a/AATXAJyCEytU0Zv1y5uX13gFW_JV3Br6pYEK_xZx7axD=mo,Prodigy sucks!!!!! Everything is about memberships!!! It keeps on glitching and I can't log in!!!,Membership,1,2,4.0.1,2021-05-20 19:07:41,,
60,gp:AOqpTOGJrXrY-tN_uQcQbTK2WTEziRTJwqBDdHXQ1SMDT3PwM3VUWPVUcfTT5qxNPgvGwH4hV0nVcgtPbw3hgw,lushon coco,https://play-lh.googleusercontent.com/a/AATXAJwI1axVfb2vQxVKZ4c4XMLnRDiTiNeVUsLYMUcq=mo,It was amazing but member ship got in the way of kids have I g fun and learning And it sucks for a reason,Membership,1,0,4.0.1,2021-05-17 13:36:39,,
