reason,lemmatized_content
Gameplay,horrible do not play game is rigged it horrible lot of hacker big lag not fun to play just boring
No specific reason,i hate this game
Gameplay,this game is the worst no offense but this game is boring all you do is math even though is a math game but still you cant say anything you want to say they have option to say some thing the animation is cringy you cant be a member for free which is stupid and you can only rescue pet even when you wanna change your hair color some of the color are for member only which is also stupid plus i like the older version of prodigy better and thats why i hate prodigy
No specific reason,dum
Gameplay,i would rate but every time i fight in the new arena the take away my point even though i didnt even battle anybody they said the fixed it but it still broken i think the should give me back all my point if they fix this because i worked so hard and then i log in and find they took away point please fix this
Technical,loved this game but this changed it became laggy
No specific reason,it a good game
Technical,i bought membership and didnt get it i want a refund
No specific reason,i dont ever wanna play this game i hate math lol
No specific reason,thia game suck imposible to beat and every question is easy but pretty good
No specific reason,bad
Gameplay,i hate this game i wa level and back to level dont recommend downloading
Membership,it is so annoying with it member item that are sooooooooooooooo dumb i hate this game
No specific reason,it teach you math
Technical,wont sign in with my google login info and i would have to have start from scratch and lose all my progress ive made with my school account
Technical,bruh u cant save nd account password i had a wand i rly wanted to equip but a soon a i equped it i got disconnected and iost my progress and i forgot my password and didnt note so i lost my account and that wand i wanted
Technical,i cant play my other account it just say wrong password or username
Membership,prodigy suck everything is about membership it keep on glitching and i cant log in
Membership,it wa amazing but member ship got in the way of kid have i g fun and learning and it suck for a reason
Membership,they have been charging me subscription fee for year even though i contacted them multiple time trying to cancel
Membership,you have to sign up from membership one we dont have to why can you not let u not sign up the membership to rescue pet and why do you make u spend money to get the membership can you stop doing that and updated prodigy for weekend just play a revolver are pet
Technical,it way easier to sign in with a computer than on a phone
Technical,kinda good im giving it a one tho because one i tried my google and it fid not work one night it worked but when i did that i couldnt log in to my school account
Technical,open and go to orange screen cant play game
Membership,dont like it would be nice to have a free membership for one day
Technical,i dont like it we have to log in everytime ee wanna play
No specific reason,not good
Technical,when trying to log in from google absolutely nothing happens why have an usable app
No specific reason,it suck i hate it
Technical,my student cant log in but when they can they throw fit about membership improve this app because i am deleting it
Membership,i will rate it star first member ship second why do we need money to get member ship third why is there a button to update the grade and it so hard to go around to have diffrent stuff around
Membership,basically everything is behind a pay wall and it hard to have fun when you need to pay a member ship in order to collect pet or get anything interesting or cool i do not recommend this game
No specific reason,your game suck
No specific reason,no no no nooooooooooooo
Membership,asks for dumb membership for basic stuff ingame too overpriced i recommend everyone to download hack for the game save money during these crisis people f prodigy
No specific reason,math make it not fun
No specific reason,
No specific reason,everyone make this a among u chat lol
Membership,this is a great game on pc but on phone i cant even log in using google and like of the game requires a membership
Technical,stopped working when asked for the class code the button for i dont have a class code doe nothing and no other button work except for exiting out of the application using a chromebook the game work on the website but not a a downloaded application
Gameplay,terrible game make fun of you not recommended for sensitive child if your child teacher assigns this use favourite toy of child to replace hisher character
No specific reason,it a mixed of fun and math which is my favorite subject
Technical,the game is pretty ok overall but the phone app will not let me log in with google but that is how i signed up through the website it asks me if it okay to leave the app and go to the website but when i click that it is okay it doesnt do anything please fix this and ill change my rating
Technical,cant even use the app all i get is error code
Membership,my kid wa playing prodigy and you have to save pet on prodigy for member now so many thing are for member
Membership,it not pay to win it pay to play
Membership,my overall experience wa fine but i no longer wanted the prodigy for the kid a theyve moved back into school full time and now prodigy keep trying to charge my bank card when you call them for customer service you get a recording saying theyre having technical difficulty and cant answer your call at the time buyer beware
Technical,autoback issueblack screen and touch problem and so many glitch
Membership,you were able to evolve your pet but now you have to pay five dollar for itams and stuff they make dollar a year frome one person
Technical,fix the google login
Technical,would not work
No specific reason,it suck
Technical,when i try to sign in with google it say do you want to go to the website just fix that
Technical,this game wouldnt let me even start the game i couldnt log in with google and i dont remember my password
Technical,prodigy doe not let me login my school on prodigy it will let me log in so please prodigy fix it
No specific reason,why the heck wont noot shuttup for three freakin second
No specific reason,it is so bad get this game of of hatred
Technical,it wont let me log in with google itll say your about to leave the site to go to the web site so ill press leave and it wont do anything
Gameplay,it wa good a until they changed the graphic now they look all cartoony and they used to look like anime pls change them back
Technical,it wont let me do my password
Technical,it wont even let me logon
Gameplay,i dont like the game so this is the reason why i got in battle and i used my skill and i dont know the answer my feeling were sad my dad wouldnt help me to do the answer he got mad at me i couldnt do it myself i just learned to do math im already and dont know math
Technical,the game wa really terrible i did not like it it wa so bad i couldnt even play for second it wa terrible i couldnt even play it for literally one second or five i dont know but this game is terrible well no one even like it if you play this game trash and better not play this game is terrible im giving it one star real i wish i could give it a zero star review so im not ever downloading this game ever again no matter if you convince me only if you add a ugly shop
Technical,it been loading for a long time hour in it still didnt load
Membership,you need member for everything and that kind of suck thats why i gave it a one star but it have a good side about it like you can catch most creature without it please make it more fair
No specific reason,very fun
No specific reason,bad
Membership,automatically renewed my premium membership a notice or reminder would have been appreciated a it get hard to keep track of every subscription especially one that my daughter us and i dont
No specific reason,poopy
Membership,prodigy wa so fun back then now you just made it all membership and micro transaction think about the kid you are more worse than electronic art
No specific reason,dg
Technical,i love da game but i cant get in the gam
No specific reason,i hate the game
Technical,the game wouldnt load on my phone
Membership,why would you even add a membership now you made the game even worse
Membership,the game is great but half if the game need membership and the thing you can buy with membership are super awesome which people without membership cannot buy which is totally unfair
No specific reason,terrible
No specific reason,it is the best because we were at school
Technical,on ur phone or tablet ur wifi when it disconnect it log you outt also ifyou turn it off it fun but i have a google account but it didnt let me
Gameplay,all the people i hear play it hate and so do i it just give every one much harder version of the question right after the just bearly get a way easier version right
Technical,not letting me log in to my google account
No specific reason,it take for ever to lige in it is true am iright
Membership,terrible experence my head got choped off very violent membership is way to much thats a year this game is also very bad teaching skill my son played it it made him very mad he thowed his i pad in the bath and it wa
Technical,i love this game on my chromebook but on phone i cant even play it i use my school user and in game username and password but nothing work and if i click log in with google and leave prodigy to log in and doesnt even let me worst game to have on phone but on laptopchromebook it fine
Technical,google login not redirecting me to google would have star otherwise
No specific reason,bad game please cancel
Membership,almost everything in the game is only accessible through the membership
No specific reason,it trash
Membership,the membership suck and change the pet back of the game is just membership an exaggeration but it is most of the game it make it no fun over half the game ha to do with membership and the pet look dumb the old version were so great and i have literally stopped playing or associating with this game over these reason the old version of prodigy wa just great overall and now you have ruined it entirely i feel sorry for people whove come recently it wa so much better
No specific reason,prodigy more like prodegy ooooooh
Membership,i dont like it it said free membership but you want me to spend my money no i dont like this game
Membership,i spent when it said when i buy it wa you guy try take money when you be a member
Technical,when i tried to open it it didnt work
Technical,cant log in with google clicked the link but it wont leave the page to go to the google login
No specific reason,this suck it would been better with no math
Gameplay,wont let me type anything on the app
No specific reason,my mom just got me member now it gone
Gameplay,this game is terrible you need premium for every thing and isnt this suppost to be a educational game for child
No specific reason,so good
No specific reason,i hate it
Membership,membership suck before you could evolve pet now everything is membership the thing that are not membership is horrible for instance there is this wand i found out that it only damage bonus before you could also evolve pet now you can not evolve pet at all prodigy just want moneythis game the member is what you need for of the game i know video game genre and this is a paytowin mathbased mmorpg not pokemonstyle most of the leader have memberstoys
Gameplay,this game is the worst some time my mom or dad want me to play it on the weekend and night but we should get a break from learning we all get stress from school i regret downloading prodigy remember this when u have kid and on your year on the world
Technical,yall have glitch in this game
Technical,it reset every thing i have done but it is fun
Technical,it always crash please fix this
Technical,fix the bug now it wont let me login with my google account
Technical,i cnat log in i mm andmm me what free membebershup so gove me nai
No specific reason,it is so annoying how harmony everything is powerfull against you
Technical,well im using samsung galaxy note but it say it a bug pls report it
Technical,when i try to log back in i put my username and password but it not working
Technical,this is just plain bad i cant even log in through google when i press the login with google button it asks if i want to leave the app to go to my browser when i press leave it doesnt do anything
No specific reason,i would give it the question are impossible
Technical,it do not save
Technical,it realy fun but after a while it didnt let me in like it didnt load
Technical,i bought a membership for prodigy for a year and i dont have it ive waited a month
No specific reason,my son payed it and it did remember it account
Gameplay,i picked nd grade but it wa doing time like x
Technical,cant even log into my account using google fix ur coding
Technical,i kep geting my pa wrod wrung
Membership,in my opinion prodigy is a scam the membership isnt worth it the membership is expensive you get very small thing you dont get a whole lot i am done with this game
No specific reason,i hate it
Gameplay,trash i want to elv my pet i have rarest pet in game but cant elv trash game trash trash trash trash
Technical,the game is pretty fun i have been playing for like day and it just keep glitching one day i played and it logged me out so it a fun game but dont waste your time it will probably log you out and just keep gliching
Technical,when i go on here it wont let me log into my account with google it will say leave app and when i click it it wont let me and you have to pay money just to evolve it like what the hell
Technical,i have a big problem with the app when you go to login using google it say it will take you too the website to pick your account but unfortunately it doesnt do that i am using a samsung galaxy please fix this bug it would make it so much easier then having to figure out your username and password and trying to login with no success other then that the game is pretty good would give star just if it werent for that little glitch but overall the game is amazing and underrated
No specific reason,ngataria is the greatest of all
Membership,turn the pet back to the way they were and get rid of the membership thing i will stop playing if this doesnt happen quickly keep harmony island though i will change to star if you do otherwise i will be insanely angry we nonmember used to be able to evolve pet and now we can barely do anything at all plus buck is insane get rid of membership now
Membership,i wa on board until i went to evolve my pet and it said i have to spend the little money i have a a member of the slave class just to evolve him now the one thing i wa excited about i cant even do i understand all the membership item but come on allow the poor kid to evolve their pet and maybe add an option to change grade level
No specific reason,it have magic
No specific reason,bad i hate so much
No specific reason,blah blah blah stop it i just love this game
Membership,the member get all the cool stuff but the non member get nothing
No specific reason,i like this game but i hate math shouldnt school b enough
Technical,i used to love this game but now there r problums first bug it go into pet screen then out then back in forth over and over again then it freeze and kick me out the whole game second membership you have to have a membership to get all the cool stuff like evolved pet hair clothes and everything and some thing that werent member only are now only for member third new pet update i dont like the new pet update it to cartoonyish for me i like the old one better
Membership,it one of those pay to win gamesnonsense
Gameplay,i thought this game taught math not learned math everytime i type in the right answer it say it wrong
Technical,it is not waking
Technical,wont let me log in with my google account
Membership,greaaat make the epic not to buy toy thats ridiculus and expensive member should get epic cause my dad wa mad i have to also buy epic even though he pay a year to get alot of stuff he mad fix it or im rating
Membership,i hate it it is a rip off
Membership,it dumb i bought premium i didnt get anything i want to give it zero star the only way ill give star is if i get my premium
Technical,i suggest u change this when i try logging in with google it doesnt take me to the website it say it will take me it annoying
No specific reason,this is the worst game ever do not install this
No specific reason,it not a good app
No specific reason,boo
No specific reason,horrible
No specific reason,horrible really horrible my student always never do theyre work and play this
No specific reason,it ok
No specific reason,prodigy suck ball
Technical,i wa trying to link a parent account because i wanted to get all the stuff it said you do but you cant link parent acounts from the app
Membership,i would rate this better if the game wa not a pay to win game
Technical,do not download this is not fun it ha to make you use a username and password and i put in my and it say this is the worng one do not download
Membership,hate iti dont understand at all i recommend to not downloading itso bad it also make you pay for one dumb petworst app everdo not download this app it suck
Technical,this i stupid i doesnt even come up on my laptop
Technical,it litaratley give you help if you lost your password and i am one of those people and if you use mobile ur out of luck
Membership,it is fun but member ship i dont like it a lot of money i cant do a lot of stuff because of member ship
Membership,i love the game but everything is for member only no kid parent are gonna waste money on it you frickin idiot
Membership,i hate this game boo you need member to do everything and some one got to get something and i do the same thing and it say you need member i have to play it and you cant say what you want to say in the chat like boo this game i cant say that thats so dumb
Membership,it not fun they make it so you cant win some battle and if you want any good pet then you have to pay for the membership it really stupid would not recomend
Gameplay,if your gonna make a pokemon ripoff with learning at least do it well need better storyline and harder question
Gameplay,i wa hoping the app would include the parent side my kid do the game from a computer but i dont want to sit at a computer to encourage and reward them it would make so much sense to be able to send reward and set goal from my phone
Technical,doesnt let you sign in with google waste of time downloading
No specific reason,wontwork
Technical,this is a horrible app it very laggy the battle get repetitive easily everyone in online mode take forever to answer their question and you have to be a member to do almost anything
Technical,i hate it i try to log in and it said no i make one later i log in and it said wrong and i wright it on paper
Technical,why will this game not allow me to sign in from google from the app on my phone i can allow my son to play from my computer but never on the go if we pay for the membership then we need to be able to access it anywhere we go
No specific reason,boring
No specific reason,i hate it so much
No specific reason,bad
No specific reason,terrible game not safe for child
No specific reason,to much math
No specific reason,i like like to play prodigy higth levls it go all the way to
Gameplay,it so bad i hate it look like a year old with a year old mind made it
Membership,fix your membership honestly you have to pay for basically of your experience in battle and worst of all your pet evolution seriously what in the burning plain were these people thinking
Technical,because i cant go on my google account
No specific reason,it suck
Technical,this game suck you cant even login with out going to the website but it will not let you leave the freaking game to login i hate it and will never play it again i do not recomend it for people with anger issue it dosent work and it suck
No specific reason,i hate it
Membership,i hate this the membership fee is so high i whould be better
Gameplay,i hate the new pet
Gameplay,it help with your math but after battle it is boring
Technical,the worsti cant even download itit take soooooooooo long
No specific reason,prodigy is not helpful for learning math
Technical,every time i leave the gqme it log me out and it say wrong password and it the right password every time it happens fix it
Gameplay,not the best educational game it ha violence
Membership,i hate this game i keep getting kicked out again and again it soooo annoying please fix this it probably a bug another thing everything is member i know you guy need some money but the membership is too expensive and when i finished the robot dance in lamplight town the prize wa for member only and i couldnt wear it dont you guy know because of your silly membership thing kid wont like the game so much you dont know how angry i am
Technical,there so many crash
No specific reason,wot
Technical,keep crashing
Membership,most game are pay to win this game though is pay to play
No specific reason,they said unban my freaking on a friday but they didnt
No specific reason,hate math
Technical,this stupid game doesnt work i used to played on the chrome at my school the game wa fun but on my phone it doesnt work dont waste your time on the stupid app i would recommend getting it on a laptop or pc
No specific reason,i hate
No specific reason,i love this app math so oooooooooooooooooooooooooooooooooooooooooo fun
Membership,i think it ok but i dont know how to cancel a membership in
No specific reason,wwe the best
Technical,it a really fun app until you try to play it it always make me mad and annoyed i want a feature where if you mess up you can choose to watch a video about that question so you can understand it also why do you need to do a notification for titan it is so annoyin
Technical,i cannot open the app it say error cannot open app
Technical,suck because it doesnt work and store not open and the free stuff you get from thest is membership like i hate you so much
No specific reason,poopy butcrack math
No specific reason,hate it it cheating really it imposabile cuz it never let me win
No specific reason,it suck it is the worst thing ever this app can go to hell
No specific reason,school
Technical,it wont save my sever
Technical,it dont let me in the fricking game
Technical,it is a fun game i play at my school but when i loged in the screen turned white
Membership,this game is a ripoff of pokemon that want your money and i hate it
No specific reason,it it garbage
No specific reason,ass
Membership,it suck pop up membership and because covid started my dad ha to work more and he doesnt want to pay got it and in the future member can battle the titan memebers can send friend request memebers can visit other house memebers can save ice crystal and other boss to be strong memebers can go against each other memebers can battle and save epic monster who nobody can save memebers can do everything non memebers we be low on others and i have epic pet and i cannot evelove it
Technical,worst app none of the option worked
No specific reason,this suck my kid hate it
No specific reason,bad
Membership,it fine but i bought the membership and im not getting it so basically i just got scammed out of my money
Technical,when i want to open the app it turn black screen
Technical,some how igor hacked and all i did for my password wa like anything like ishshsisujsk
Technical,it took to long respond
Membership,first off i miss the old chibi style that you guy had back in like second off you cant do anything in this game without premium now
No specific reason,i hate it it stupid
Membership,i love this game but everything ha to be member and there is nothing to buy with coin why do we have coin if there is nothing to buy please change this
No specific reason,i couldnt even be a parent i rate this one star because i couldnt be a parent and unlock stuff for my daughter
Technical,i tried loading in and i didnt even work for me this game is really ticken me off i dont suggest it and never ever buy itget it
No specific reason,no it boring boooooooooooooooooooooooooooooooooooooo booooooooooooooooooooooooooooooooooooooboooooooooooooooooooooooooooooooooooooooobooooooookoooooooooooooooooooooooooooooooooooooooooooob
Gameplay,slow and boring in th grade it wa better now i am in th and it is horribal now
Gameplay,this is boring
Technical,everytime i try to log in to it said make a correct time so prodigy if youre reading this can you please fix this
Technical,well it used to be fun but i really want some of the pet but there hard to get i also missed out on the dragon ox gear on summer i really wanted it so could you please put the sparkle pet in store also dragon ox gear and almost everything is for member and you can only say stuff in the game in the chat please fix this
Technical,endless loading screen worked the first time but after that it never loaded the game in i even go offline it doesnt work
Technical,i can press i single button without restarting the app
No specific reason,a game for school and after school hour
No specific reason,lazy work
Technical,each time i go out of the game it log me out so i have to log back in and start over my whole progress
Technical,most people are in love with this app i am not first of all i cant download it second of all when i am on my computer trying to play i cant because it wont go farther than that dirty in the sock page the loading one so i am over this fix it this is dumb just fix it pleeeeease
Gameplay,this is so stupid it isnt fun it ha lame pet and they discontinued the epic for nothing i hope they will make it better i am visably angry
No specific reason,feu just got to see what i got to do and what i want is a good deal
Membership,i really like this game everything is appealing the game is challenging and fun and the custom character creation is great however there a major problem with this game now that problem is the fact you cant experience of the game without premium for example to buy medium or better house rescue more pet or even evolve them you must pay a monthly fee please just please change th makeprodigygreatagain
No specific reason,the worst game i ever seen it say that im a robot what a stupid question
Gameplay,i hate when i cant team battle
Technical,it log me out every time and when i put my right password in it say wrong so do not get the app all your hard you did for nothing
No specific reason,i have me heart disease
Technical,sends you to website
Gameplay,bored by this game
No specific reason,it wonderful game
No specific reason,i hate math and math game if you like math you will like the app but i dont like math
Gameplay,this game break my heart co once i wa playing with my friend and she got a sparkle cat while i got junk this broke my heart i will never ever ever play this game until you give me a sparkle cat and im lvl and a member and i still havent got oneiiiii
Gameplay,the fbi ha a list of proven pedophilia symbol and they are present in this child math app the student are wizard who cast spell on others and then try to take away the others heart the symbolism is off the chart and unacceptable for a child much le an educational math game i have emailed the developer and will update with the response parent be aware of what your child are interacting with in anything online
Technical,cant sign in ie play through app always want to go to browser to start a game
Gameplay,this game just give out hard problem when in a high level also when your at level there are easy one and it looked like pokemon and my membership wa gone when i wa playing prodigy at school on friday
Gameplay,boring
Technical,the app is just not built to be played when you choose to log into the app using a google account it immediately take you out of the app and log you in in your mobile browser which also just doesnt work correctly they need to fix it so that it actually sign you in when you select the google account option
Technical,it now say i need a teacher class code to play and my teacher doesnt have one im really disappointed because i really used to like this game
Membership,membership out of the way and it fine i go school yeah think the game good but when i get home i play and membership it should be like the prize box give u limited membership for like day of hr yeah please add to game
No specific reason,good
Gameplay,i play it and it give me stupid answer
Membership,all of this membership stuff is anoyying to my kid and he keep asking but i cant and he want a pet so and it should be no ad and no ad fix this
No specific reason,
Technical,very buggy app kept getting kicked out
Membership,i dont like how you need a membership to do almost stuff in the game you need a membership to evolve your pet even plus you cant even run away from monster forcing you to battle every single monster you encounter add a run away button and this game is literally a math version of pokimon ugh people dont get this game til they do something about this
No specific reason,so bad
Gameplay,it look it a fun game but i cant figure out how to save i just dont like
Technical,great but it keep on closing saying prodigy ha stopped because of the update and doesnt even let me finish a battle
Technical,the evolving is stupid buy this so your pet can evolve buy this so you can wear this buy this so you can more xp and you only get xp for each moster beaten horrible game horriblei shall say and it dumb
No specific reason,i cant find my mom in the game
No specific reason,hate
No specific reason,too dum and i food
Membership,it suck because membership is the game they keep bugging me for money it a good game just change it and ill give star also why do have to evovle my pet by buying the membership it also a pokemon knock off plus let u type our name and why is there stupid nickname
Membership,need to pay yearly to unlock full game and trouble customer service
No specific reason,very good
Technical,it wont let me log in to my account plus it ha stuff i dont even now and membershipsucks it not fun plus i cant involve my pet
Membership,membership is just so bad it doe nothing pretty much just let you unlock more stuff the game it is fine but sometimes i just hate it like membership i do not like it at all it suck you should get more stuff and be able to get more stuff by doing like just they should make it better it pretty dumb i do not like it all so do not buy membership or anything thats is money in the game it is a waste of money and a waste of your timedonotget that is my opinion ok membership also is just
Technical,it a horrible game any time i try to change my avatar it kick me out if you are thinking of downloading it do not
No specific reason,i cant playyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
No specific reason,it didnt work
Technical,ive tried to log in after not playing for a good bit for like a month maybe and im typing in my correct stuff and it saying incorrect this is stupid and you have to be a member to do anything fun
No specific reason,best game for topper only topper
Technical,i really love prodigy but im having so much trouble loging in on my chromebook at school is easy but on phone idk why it so hard
No specific reason,not like it
No specific reason,i hate it
Membership,i love prodigy i use to play it more often but i have one major complaint and it seems a lot of people do too the membership suck you cant do anything anymore because of membership yes i know prodigy is just trying to keep the app running but it like you want to evolve your pet nah pay a monthly fee for that also the pet limitation went up so now no one can really have that much of a team oh yes it only k please if you can make it k
No specific reason,why would you change it we all love the old one
Technical,it not letting me log in through google on the original app i have to go through chrome then i can play the game star on mobile star on computer
Membership,why is every cool thing for member this is a game to learn not to pay for
Membership,it forcing you to buy premium to do nearly anything and it get you at any chance to give them money
No specific reason,i hate it
Technical,i tipped in my correct password and then it said that it wa wrong but it wa right the first time went on the game it worked but the next time i did it wouldnt work
No specific reason,i cant play
Membership,it cool becasue it have all the pet and member andpets with member toooo byebye
No specific reason,bad it make u do maf i hate math math suck ewwwwwwww ugly not epik
No specific reason,i play at school
Membership,bad membership ruin it all you basically need membership for almost everything it not fair please remove it or make it free for everyone
No specific reason,garbage
No specific reason,
Technical,it wont even work on my galaxy j and it make me upset
Membership,nice i cant evolve my pet cause im poorthats reasonable smh
Gameplay,everytime i walk near a monster to go to my friend it put me in a match stop this it annoying
Membership,you need a membership for everything and for the people who dont have it the game is super boring
No specific reason,math
Technical,crappy you cant use a existing account fix ur game freakin idiot k wish i could rate no star i wouldnt recommend this game
Technical,half of every sentence is cut off
Membership,i do not really like the game because i need a member ship to do every thing they need to take the member ship of
Membership,i hate this everything is for member you expect u to pay money for a membership when you could of just make the item cost gold coin or level if you fix this ill rate this star also the shop say you want a item so you go to the correct shop which ha the item you want but then you cant find it most of the item are for member and it make me mad please fix this or ill keep my rating at star thank you
Technical,it it so bad because my okay try to sign up and it wouldnt let her in and she had the one for her school shes on the first school and everything it it one star i dont like it another doe she
No specific reason,word math
No specific reason,i hate it
No specific reason,good
No specific reason,im not changing my review hahahahahaha
Gameplay,this is my last review with this stupid math game bc i hate it it give ez one hard one dont play this game
Gameplay,it suck you have to remember your wizard name i cant log back in
Gameplay,i want to play it but it keep stopping when i try to play it
Technical,it would not let me in and i had to make a new account the game suck
Gameplay,the pc experience is great fun math game without ad although a good deal of the feature need payment but the app version is awful i used my google account to sign up so whenever i try to sign in it redirects me to the internet whats the point of downloading the app if it cant be used and force you to use the internet version and thats awful too i cant go into the cave and the decimal point on the keyboard is hidden which is absolutely useless for answering question deleting
Technical,it kept crashing when i would open the app
No specific reason,i like itty
Technical,when i push the sign in button i get an orange screen
Technical,i have to change my review because the game is acting up and i had enough
Technical,sadly it shuts down multiple time and cause frustration
No specific reason,my husband beat me all night uh i mean i almost think everything u have to buy with the membership so daddy harder uh god i mean very odd dont want to spend money
No specific reason,i love it
Technical,ad break my game
No specific reason,i hate math
Membership,well all the amd star review are from people hho have spent money on the membership you cant do anything without the membership and it make the game trash so yeah i will never change my review until you take of the stupid membership just add some exclusive feature dont make the whole damn game exclusive you guy ruined the game for player who dont have the money for a membership and sometimes that hurt amd i hate how this started out a star game but went to a star pay to win game
Technical,this app shuts down for me in the middle of fight every minute
Technical,lol what is this wont even let me login
Technical,it doesnt work it doesnt let me log in with google and then i cant play on the app
No specific reason,eh
Technical,im trying to get on this for my daughter for school and the program freeze glitch and then shuts off
No specific reason,gj
No specific reason,i would rather not say it
Membership,we need to be a member for everything
Technical,i have to go to google to play the game and it is annoying
Technical,bro it gliitches it wont work
Technical,it garbage it suck it horrible and extremely frustrating the first time you get into it and your child start learning with it it very fun and exciting and make learning fun but then when your poor child is looking forward to seeing whats going on with her pet and the math adventure theyre going on it will not allow you to log in it say you need your teacher passcode but she isnt in a class and didnt need to be when they let her play it the first time really horrible
No specific reason,i hate it
No specific reason,it suck
Membership,my son love this game but it kick him out constantly im thinking it because he doesnt have a paid account
Technical,kicking me out and when i wa level it restarted me to level one
Gameplay,i hate it you dont have a escape button when u dont want to fight the monster
No specific reason,after the update it sucked bad
No specific reason,good night
No specific reason,if you get off it rest you
No specific reason,im not in a class that us this but i wanted to play this game for nystalga sake i know i spelled that wrong but it say have to be in a class to play this game and it only go up to th grade im in high school id love to see this game opened up to the people who just want to play the game for fun
Technical,i it not loading and ant opening
Membership,it always say be a member like i cant get anything bc im not a member like update your game guy
No specific reason,waste app
No specific reason,hate
Technical,when logging in it say error loading your skillsplease try again please fix it
Gameplay,because i put in for x and it said worng next thing u know it
No specific reason,is bad dont play that game
Membership,okay so i really wanna finish the dark tower but you need a membership to and i get really annoyed by that i hope you can make it to where we dont need a member ship if you can thank you if you read this thank you for your time
No specific reason,hate it
Gameplay,it get graphic change to much i remember the best game in
Technical,will not go past the orange screen very dissapointed
No specific reason,it suck
